skill,stack_overflow_tag,dataset_job_posting_count,tag_total_count,recent_question_count,avg_question_score,avg_answer_count,avg_view_count
Python,python,4450,2221050.0,2500,0.7988,1.1952,208.2648
SQL,sql,3407,675634.0,1929,0.3634007257646449,1.5578019699326076,136.3182996371177
TensorFlow,tensorflow,3022,82603.0,359,0.4735376044568245,0.7353760445682451,167.67130919220057
Kubernetes,kubernetes,3009,58264.0,442,0.2647058823529412,0.7737556561085973,230.43212669683257
Scala,scala,2794,112883.0,261,0.5823754789272031,0.9118773946360154,108.18773946360153
PyTorch,pytorch,2777,24362.0,477,0.7148846960167715,0.740041928721174,421.2662473794549
Linux,linux,2705,228711.0,972,0.8724279835390947,0.9300411522633745,182.7551440329218
Git,git,2631,154256.0,923,0.27627302275189597,1.1581798483206933,199.1029252437703
Java,java,2578,1922014.0,2500,0.722,0.9744,204.6788
GCP,google-cloud-platform,2442,51014.0,734,0.3310626702997275,0.8678474114441417,237.20299727520435
Hadoop,hadoop,2419,44219.0,47,0.19148936170212766,0.8936170212765957,122.91489361702128
Tableau,tableau,2341,,34,0.35294117647058826,0.5882352941176471,83.67647058823529
R,r,2311,512311.0,2500,1.4924,1.284,133.2664
Computer Vision,computer-vision,2284,16200.0,116,0.6637931034482759,0.8793103448275862,168.32758620689654
Deep Learning,deep-learning,2189,27688.0,181,0.5359116022099447,0.7955801104972375,243.93370165745856
MLOps,mlops,2164,272.0,6,-0.16666666666666666,0.3333333333333333,93.33333333333333
Spark,apache-spark,2155,82774.0,463,0.4838012958963283,0.8444924406047516,167.5291576673866
NLP,nlp,2145,20476.0,117,0.6495726495726496,0.8376068376068376,250.52136752136752
Azure,azure,2144,146225.0,2390,0.11715481171548117,0.9711297071129708,277.55983263598324
AWS,amazon-web-services,2018,159721.0,1225,0.23265306122448978,0.8138775510204082,224.25061224489795
Docker,docker,1862,140483.0,597,0.628140703517588,0.7889447236180904,400.9011725293132
Statistics,statistics,1833,16369.0,56,1.5178571428571428,0.9642857142857143,120.25
